"crab" "y" "weight" "width" "color" "spine"
"1" 1 8 3.05 28.3 2 3
"2" 2 0 1.55 22.5 3 3
"3" 3 9 2.3 26 1 1
"4" 4 0 2.1 24.8 3 3
"5" 5 4 2.6 26 3 3
"6" 6 0 2.1 23.8 2 3
"7" 7 0 2.35 26.5 1 1
"8" 8 0 1.9 24.7 3 2
"9" 9 0 1.95 23.7 2 1
"10" 10 0 2.15 25.6 3 3
"11" 11 0 2.15 24.3 3 3
"12" 12 0 2.65 25.8 2 3
"13" 13 11 3.05 28.2 2 3
"14" 14 0 1.85 21 4 2
"15" 15 14 2.3 26 2 1
"16" 16 8 2.95 27.1 1 1
"17" 17 1 2 25.2 2 3
"18" 18 1 3 29 2 3
"19" 19 0 2.2 24.7 4 3
"20" 20 5 2.7 27.4 2 3
"21" 21 4 1.95 23.2 2 2
"22" 22 3 2.3 25 1 2
"23" 23 1 1.6 22.5 2 1
"24" 24 2 2.6 26.7 3 3
"25" 25 3 2 25.8 4 3
"26" 26 0 1.3 26.2 4 3
"27" 27 3 3.15 28.7 2 3
"28" 28 5 2.7 26.8 2 1
"29" 29 0 2.6 27.5 4 3
"30" 30 0 2.1 24.9 2 3
"31" 31 4 3.2 29.3 1 1
"32" 32 0 2.6 25.8 1 3
"33" 33 0 2 25.7 2 2
"34" 34 8 2 25.7 2 1
"35" 35 5 2.7 26.7 2 1
"36" 36 0 1.85 23.7 4 3
"37" 37 0 2.65 26.8 2 3
"38" 38 6 3.15 27.5 2 3
"39" 39 0 1.9 23.4 4 3
"40" 40 6 2.8 27.9 2 3
"41" 41 3 3.1 27.5 3 3
"42" 42 5 2.8 26.1 1 1
"43" 43 6 2.5 27.7 1 1
"44" 44 5 3.3 30 2 1
"45" 45 9 3.25 28.5 3 1
"46" 46 4 2.8 28.9 3 3
"47" 47 6 2.6 28.2 2 3
"48" 48 4 2.1 25 2 3
"49" 49 3 3 28.5 2 3
"50" 50 3 3.6 30.3 2 1
"51" 51 5 2.1 24.7 4 3
"52" 52 5 2.9 27.7 2 3
"53" 53 6 2.7 27.4 1 1
"54" 54 4 1.6 22.9 2 3
"55" 55 5 2 25.7 2 1
"56" 56 15 3 28.3 2 3
"57" 57 3 2.7 27.2 2 3
"58" 58 3 2.3 26.2 3 3
"59" 59 0 2.75 27.8 2 1
"60" 60 0 2.25 25.5 4 3
"61" 61 0 2.55 27.1 3 3
"62" 62 5 2.05 24.5 3 3
"63" 63 3 2.45 27 3 1
"64" 64 5 2.15 26 2 3
"65" 65 1 2.8 28 2 3
"66" 66 8 3.05 30 2 3
"67" 67 10 3.2 29 2 3
"68" 68 0 2.4 26.2 2 3
"69" 69 0 1.3 26.5 2 1
"70" 70 3 2.4 26.2 2 3
"71" 71 7 2.8 25.6 3 3
"72" 72 1 1.65 23 3 3
"73" 73 0 1.8 23 3 3
"74" 74 6 2.25 25.4 2 3
"75" 75 0 1.9 24.2 3 3
"76" 76 0 1.6 22.9 2 2
"77" 77 3 2.2 26 3 2
"78" 78 4 2.25 25.4 2 3
"79" 79 0 1.2 25.7 3 3
"80" 80 5 2.1 25.1 2 3
"81" 81 0 2.25 24.5 3 2
"82" 82 0 2.9 27.5 4 3
"83" 83 0 1.65 23.1 3 3
"84" 84 4 2.55 25.9 3 1
"85" 85 0 2.3 25.8 2 3
"86" 86 3 2.25 27 4 3
"87" 87 0 3.05 28.5 2 3
"88" 88 0 2.75 25.5 4 1
"89" 89 0 1.9 23.5 4 3
"90" 90 0 1.7 24 2 2
"91" 91 5 3.85 29.7 2 1
"92" 92 0 2.55 26.8 2 1
"93" 93 0 2.45 26.7 4 3
"94" 94 0 3.2 28.7 2 1
"95" 95 0 1.55 23.1 3 3
"96" 96 1 2.8 29 2 1
"97" 97 0 2.25 25.5 3 3
"98" 98 1 1.967 26.5 3 3
"99" 99 1 2.2 24.5 3 3
"100" 100 1 3 28.5 3 3
"101" 101 1 2.867 28.2 2 3
"102" 102 1 1.6 24.5 2 3
"103" 103 1 2.55 27.5 2 3
"104" 104 4 2.55 24.7 2 2
"105" 105 1 2 25.2 2 1
"106" 106 1 2.9 27.3 3 3
"107" 107 1 2.4 26.3 2 3
"108" 108 1 3.1 29 2 3
"109" 109 2 1.9 25.3 2 3
"110" 110 4 2.3 26.5 2 3
"111" 111 3 3.25 27.8 2 3
"112" 112 6 2.5 27 2 3
"113" 113 0 2.1 25.7 3 3
"114" 114 2 2.1 25 2 3
"115" 115 2 3.325 31.9 2 3
"116" 116 0 1.8 23.7 4 3
"117" 117 12 3.225 29.3 4 3
"118" 118 0 1.4 22 3 3
"119" 119 5 2.4 25 2 3
"120" 120 6 2.5 27 3 3
"121" 121 6 1.8 23.8 3 3
"122" 122 2 3.275 30.2 1 1
"123" 123 0 2.225 26.2 3 3
"124" 124 2 1.65 24.2 2 3
"125" 125 3 2.9 27.4 2 3
"126" 126 0 2.3 25.4 2 2
"127" 127 3 3.2 28.4 3 3
"128" 128 4 1.475 22.5 4 3
"129" 129 2 2.025 26.2 2 3
"130" 130 6 2.3 24.9 2 1
"131" 131 6 1.95 24.5 1 2
"132" 132 0 1.8 25.1 2 3
"133" 133 4 2.9 28 2 1
"134" 134 10 2.25 25.8 4 3
"135" 135 7 3.05 27.9 2 3
"136" 136 0 2.2 24.9 2 3
"137" 137 5 3.1 28.4 2 1
"138" 138 5 2.4 27.2 3 3
"139" 139 6 2.25 25 2 2
"140" 140 6 2.625 27.5 2 3
"141" 141 7 5.2 33.5 2 1
"142" 142 3 3.325 30.5 2 3
"143" 143 3 2.925 29 3 3
"144" 144 0 2 24.3 2 1
"145" 145 0 2.4 25.8 2 3
"146" 146 8 2.1 25 4 3
