"genero"	"partido"	"ideologia"
"1"	"Female"	"Democ"	"Muy lib"
"2"	"Female"	"Democ"	"Muy lib"
"3"	"Female"	"Democ"	"Muy lib"
"4"	"Female"	"Democ"	"Muy lib"
"5"	"Female"	"Democ"	"Muy lib"
"6"	"Female"	"Democ"	"Muy lib"
"7"	"Female"	"Democ"	"Muy lib"
"8"	"Female"	"Democ"	"Muy lib"
"9"	"Female"	"Democ"	"Muy lib"
"10"	"Female"	"Democ"	"Muy lib"
"11"	"Female"	"Democ"	"Muy lib"
"12"	"Female"	"Democ"	"Muy lib"
"13"	"Female"	"Democ"	"Muy lib"
"14"	"Female"	"Democ"	"Muy lib"
"15"	"Female"	"Democ"	"Muy lib"
"16"	"Female"	"Democ"	"Muy lib"
"17"	"Female"	"Democ"	"Muy lib"
"18"	"Female"	"Democ"	"Muy lib"
"19"	"Female"	"Democ"	"Muy lib"
"20"	"Female"	"Democ"	"Muy lib"
"21"	"Female"	"Democ"	"Muy lib"
"22"	"Female"	"Democ"	"Muy lib"
"23"	"Female"	"Democ"	"Muy lib"
"24"	"Female"	"Democ"	"Muy lib"
"25"	"Female"	"Democ"	"Muy lib"
"26"	"Female"	"Democ"	"Algo lib"
"27"	"Female"	"Democ"	"Algo lib"
"28"	"Female"	"Democ"	"Algo lib"
"29"	"Female"	"Democ"	"Algo lib"
"30"	"Female"	"Democ"	"Algo lib"
"31"	"Female"	"Democ"	"Algo lib"
"32"	"Female"	"Democ"	"Algo lib"
"33"	"Female"	"Democ"	"Algo lib"
"34"	"Female"	"Democ"	"Algo lib"
"35"	"Female"	"Democ"	"Algo lib"
"36"	"Female"	"Democ"	"Algo lib"
"37"	"Female"	"Democ"	"Algo lib"
"38"	"Female"	"Democ"	"Algo lib"
"39"	"Female"	"Democ"	"Algo lib"
"40"	"Female"	"Democ"	"Algo lib"
"41"	"Female"	"Democ"	"Algo lib"
"42"	"Female"	"Democ"	"Algo lib"
"43"	"Female"	"Democ"	"Algo lib"
"44"	"Female"	"Democ"	"Algo lib"
"45"	"Female"	"Democ"	"Algo lib"
"46"	"Female"	"Democ"	"Algo lib"
"47"	"Female"	"Democ"	"Algo lib"
"48"	"Female"	"Democ"	"Algo lib"
"49"	"Female"	"Democ"	"Algo lib"
"50"	"Female"	"Democ"	"Algo lib"
"51"	"Female"	"Democ"	"Algo lib"
"52"	"Female"	"Democ"	"Algo lib"
"53"	"Female"	"Democ"	"Algo lib"
"54"	"Female"	"Democ"	"Algo lib"
"55"	"Female"	"Democ"	"Algo lib"
"56"	"Female"	"Democ"	"Algo lib"
"57"	"Female"	"Democ"	"Algo lib"
"58"	"Female"	"Democ"	"Algo lib"
"59"	"Female"	"Democ"	"Algo lib"
"60"	"Female"	"Democ"	"Algo lib"
"61"	"Female"	"Democ"	"Algo lib"
"62"	"Female"	"Democ"	"Algo lib"
"63"	"Female"	"Democ"	"Algo lib"
"64"	"Female"	"Democ"	"Algo lib"
"65"	"Female"	"Democ"	"Algo lib"
"66"	"Female"	"Democ"	"Algo lib"
"67"	"Female"	"Democ"	"Algo lib"
"68"	"Female"	"Democ"	"Algo lib"
"69"	"Female"	"Democ"	"Algo lib"
"70"	"Female"	"Democ"	"Algo lib"
"71"	"Female"	"Democ"	"Algo lib"
"72"	"Female"	"Democ"	"Algo lib"
"73"	"Female"	"Democ"	"Algo lib"
"74"	"Female"	"Democ"	"Algo lib"
"75"	"Female"	"Democ"	"Algo lib"
"76"	"Female"	"Democ"	"Algo lib"
"77"	"Female"	"Democ"	"Algo lib"
"78"	"Female"	"Democ"	"Algo lib"
"79"	"Female"	"Democ"	"Algo lib"
"80"	"Female"	"Democ"	"Algo lib"
"81"	"Female"	"Democ"	"Algo lib"
"82"	"Female"	"Democ"	"Algo lib"
"83"	"Female"	"Democ"	"Algo lib"
"84"	"Female"	"Democ"	"Algo lib"
"85"	"Female"	"Democ"	"Algo lib"
"86"	"Female"	"Democ"	"Algo lib"
"87"	"Female"	"Democ"	"Algo lib"
"88"	"Female"	"Democ"	"Algo lib"
"89"	"Female"	"Democ"	"Algo lib"
"90"	"Female"	"Democ"	"Algo lib"
"91"	"Female"	"Democ"	"Algo lib"
